artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"AACHEN, Hans von",(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,1552,1615,Hans von Aachen
"AAGAARD, Carl Frederik",(1833-1895),Realism,painter,https://www.wga.hu/html/a/aagaard/index.html,Copenhagen,Danish,1833,1895,Carl Frederik Aagaard
"ABADIA, Juan de la",(active 1470-1490),Early Renaissance,painter,https://www.wga.hu/html/a/abadia/index.html,Huesca,Spanish,1470,1490,Juan de la Abadia
"ABADIE, Paul",(1812-1884),Art Nouveau,architect,https://www.wga.hu/html/a/abadie/index.html,Paris,French,1812,1884,Paul Abadie
"ABAQUESNE, Masséot",(c 1500-1564),High Renaissance,potter,https://www.wga.hu/html/a/abaquesn/index.html,France,French,1500,1564,Masséot Abaquesne
"ABBATE, Niccolò dell'",(1509-1571),Mannerism,painter,https://www.wga.hu/html/a/abbate/index.html,Bologna,Italian,1509,1571,Niccolò dell' Abbate
"ABBATI, Giuseppe",(1836-1868),Realism,painter,https://www.wga.hu/html/a/abbati/index.html,Italy,Italian,1836,1868,Giuseppe Abbati
"ABBATINI, Guido Ubaldo",(c. 1602-1656),Baroque,painter,https://www.wga.hu/html/a/abbatini/index.html,Rome,Italian,1602,1656,Guido Ubaldo Abbatini
"ABEELE, Pieter van",(1608-1684),Baroque,sculptor,https://www.wga.hu/html/a/abeele/index.html,Amsterdam,Dutch,1608,1684,Pieter van Abeele
"ABILDGAARD, Nicolai",(1743-1809),Romanticism,painter,https://www.wga.hu/html/a/abildgaa/index.html,Denmark,Danish,1743,1809,Nicolai Abildgaard
"ABONDIO, Antonio",(1538-1591),Mannerism,sculptor,https://www.wga.hu/html/a/abondio/index.html,Vienna,Italian,1538,1591,Antonio Abondio
"ACERO Y AREBO, Vicente",(c. 1677-1739),Baroque,architect,https://www.wga.hu/html/a/acero/index.html,Spain,Spanish,1677,1739,Vicente Acero Y Arebo
"ACHENBACH, Oswald",(1827-1905),Realism,painter,https://www.wga.hu/html/a/achenbac/index.html,Dusseldorf,German,1827,1905,Oswald Achenbach
"ADAM, Albrecht",(1786-1862),Romanticism,painter,https://www.wga.hu/html/a/adam1/index.html,Munich,German,1786,1862,Albrecht Adam
"ADAM, Lambert-Sigisbert",(1700-1759),Baroque,sculptor,https://www.wga.hu/html/a/adam/lambert/index.html,Nancy,French,1700,1759,Lambert-Sigisbert Adam
"ADAM, Nicolas-Sébastien",(1705-1778),Baroque,sculptor,https://www.wga.hu/html/a/adam/nicolas/index.html,Nancy,French,1705,1778,Nicolas-Sébastien Adam
"ADAM, Robert",(1728-1792),Baroque,architect,https://www.wga.hu/html/a/adam2/index.html,London,Scottish,1728,1792,Robert Adam
"ADAM-SALOMON, Antoine-Samuel",(1818-1881),Realism,sculptor,https://www.wga.hu/html/a/adam-sal/index.html,Paris,French,1818,1881,Antoine-Samuel Adam-Salomon
"ADELCRANTZ, Carl Fredrik",(1716-1796),Neoclassicism,architect,https://www.wga.hu/html/a/adelcran/index.html,Sweden,Swedish,1716,1796,Carl Fredrik Adelcrantz
"ADEMOLLO, Luigi",(1764-1849),Neoclassicism,painter,https://www.wga.hu/html/a/ademollo/index.html,Florence,Italian,1764,1849,Luigi Ademollo
"ADLER, Salomon",(1630-1709),Baroque,painter,https://www.wga.hu/html/a/adler/index.html,Milan,German,1630,1709,Salomon Adler
"ADOLPHI, Christoffel",(c. 1631-1680),Baroque,sculptor,https://www.wga.hu/html/a/adolphi/index.html,Amsterdam,Dutch,1631,1680,Christoffel Adolphi
"ADRIAENSSEN, Alexander",(1587-1661),Baroque,painter,https://www.wga.hu/html/a/adriaens/index.html,Antwerp,Flemish,1587,1661,Alexander Adriaenssen
ADRIANO FIORENTINO,(ca. 1455-1499),Early Renaissance,sculptor,https://www.wga.hu/html/a/adriano/index.html,Florence,Italian,1455,1499,ADRIANO FIORENTINO
"AELST, Willem van",(1627-c. 1683),Baroque,painter,https://www.wga.hu/html/a/aelst/index.html,Delft,Dutch,1627,1683,Willem van Aelst
"AENVANCK, Theodoor",(1633-1690),Baroque,painter,https://www.wga.hu/html/a/aenvanck/index.html,Antwerp,Flemish,1633,1690,Theodoor Aenvanck
AERT VAN ORT,(active 1490-1536),Northern Renaissance,glass,https://www.wga.hu/html/a/aert/index.html,Flanders,Flemish,1490,1536,AERT VAN ORT
"AERTSEN, Pieter",(1508-1575),Northern Renaissance,painter,https://www.wga.hu/html/a/aertsen/index.html,Amsterdam,Netherlandish,1508,1575,Pieter Aertsen
"AGABITI, Pietro Paolo",(c. 1470-c. 1540),Early Renaissance,painter,https://www.wga.hu/html/a/agabiti/index.html,Marches,Italian,1470,1540,Pietro Paolo Agabiti
"AGASSE, Jacques-Laurent",(1767-1849),Neoclassicism,painter,https://www.wga.hu/html/a/agasse/index.html,London,Swiss,1767,1849,Jacques-Laurent Agasse
AGNOLO DI POLO,(c. 1470-after 1498),Early Renaissance,sculptor,https://www.wga.hu/html/a/agnolo/index.html,Florence,Italian,1470,1498,AGNOLO DI POLO
AGNOLO DI VENTURA,(active 1311-1349),Medieval,sculptor,https://www.wga.hu/html/a/agnol/index.html,Siena,Italian,1311,1349,AGNOLO DI VENTURA
AGOSTINO DI DUCCIO,(1418-1481),Early Renaissance,sculptor,https://www.wga.hu/html/a/agostin/index.html,Rimini,Italian,1418,1481,AGOSTINO DI DUCCIO
AGOSTINO DI GIOVANNI,(active 1310-1347),Medieval,sculptor,https://www.wga.hu/html/a/agostino/index.html,Siena,Italian,1310,1347,AGOSTINO DI GIOVANNI
"AGRATE, Gian Francesco Ferrari d'",(1489-c. 1563),High Renaissance,sculptor,https://www.wga.hu/html/a/agrate/index.html,Parma,Italian,1489,1563,Gian Francesco Ferrari d' Agrate
"AGRESTI, Livio",(1505-1579),High Renaissance,painter,https://www.wga.hu/html/a/agresti/index.html,Forli,Italian,1505,1579,Livio Agresti
"AGUADO LÓPEZ, Antonio",(1764-1831),Neoclassicism,architect,https://www.wga.hu/html/a/aguado/index.html,Madrid,Spanish,1764,1831,Antonio Aguado López
"AIMO, Domenico",(c. 1465-1539),High Renaissance,sculptor,https://www.wga.hu/html/a/aimo/index.html,Italy,Italian,1465,1539,Domenico Aimo
"AIVAZOVSKY, Ivan Konstantinovich",(1817-1900),Realism,painter,https://www.wga.hu/html/a/aivazovs/index.html,Russia,Russian,1817,1900,Ivan Konstantinovich Aivazovsky
"AKEN, Joseph van",(c. 1699-1749),Rococo,painter,https://www.wga.hu/html/a/aken/index.html,London,Flemish,1699,1749,Joseph van Aken
"AKOTANTOS, Angelos",(?-c. 1457),Medieval,painter,https://www.wga.hu/html/a/akotanto/index.html,Crete,Greek,1457,,Angelos Akotantos
"ALBA, Macrino d'",(c. 1460-c. 1528),Early Renaissance,painter,https://www.wga.hu/html/a/alba/index.html,Alba,Italian,1460,1528,Macrino d' Alba
"ALBANI, Francesco",(1578-1660),Baroque,painter,https://www.wga.hu/html/a/albani/index.html,Bologna,Italian,1578,1660,Francesco Albani
"ALBEREGNO, Jacobello",(died before1397),Medieval,painter,https://www.wga.hu/html/a/alberegn/index.html,Venice,Italian,,,Jacobello Alberegno
"ALBERTI, Antonio",(c. 1390-c. 1442),Early Renaissance,painter,https://www.wga.hu/html/a/albert/index.html,Urbino,Italian,1390,1442,Antonio Alberti
"ALBERTI, Cherubino",(1553-1615),Mannerism,painter,https://www.wga.hu/html/a/alberti1/cherubin/index.html,Rome,Italian,1553,1615,Cherubino Alberti
"ALBERTI, Giovanni",(1558-1601),Mannerism,painter,https://www.wga.hu/html/a/alberti1/giovanni/index.html,Rome,Italian,1558,1601,Giovanni Alberti
"ALBERTI, Leon Battista",(1404-1472),Early Renaissance,architect,https://www.wga.hu/html/a/alberti/index.html,Italy,Italian,1404,1472,Leon Battista Alberti
"ALBERTINELLI, Mariotto",(1474-1515),Early Renaissance,painter,https://www.wga.hu/html/a/albertin/index.html,Florence,Italian,1474,1515,Mariotto Albertinelli
"ALBERTOLLI, Giocondo",(1743-1839),Neoclassicism,sculptor,https://www.wga.hu/html/a/albertol/index.html,Italy,Italian,1743,1839,Giocondo Albertolli
"ALBOTTO, Francesco",(1721-1757),Baroque,painter,https://www.wga.hu/html/a/albotto/index.html,Venice,Italian,1721,1757,Francesco Albotto
"ALCIBAR, José de",(1725/30-1803),Baroque,painter,https://www.wga.hu/html/a/alcibar/index.html,Mexico,Other,1725,1803,José de Alcibar
"ALDROVANDI, Ulisse",(1522-1605),Mannerism,graphic,https://www.wga.hu/html/a/aldrovan/index.html,Bologna,Italian,1522,1605,Ulisse Aldrovandi
"ALEANDRI, Ireneo",(1795-1885),Neoclassicism,architect,https://www.wga.hu/html/a/aleandri/index.html,Italy,Italian,1795,1885,Ireneo Aleandri
"ALEKSANDROVIĆ, Ljubomir",(1828-1887),Romanticism,painter,https://www.wga.hu/html/a/aleksand/index.html,Other,Other,1828,1887,Ljubomir Aleksandrović
"ALEKSEYEV, Fyodor Yakovlevich",(c. 1753-1824),Rococo,painter,https://www.wga.hu/html/a/alekseye/index.html,Russia,Russian,1753,1824,Fyodor Yakovlevich Alekseyev
"ALENZA Y NIETO, Leonardo",(1807-1845),Neoclassicism,painter,https://www.wga.hu/html/a/alenza/index.html,Madrid,Spanish,1807,1845,Leonardo Alenza Y Nieto
"ALESSI, Galeazzo",(1512-1572),Mannerism,architect,https://www.wga.hu/html/a/alessi/index.html,Genoa,Italian,1512,1572,Galeazzo Alessi
ALESSO DI BENOZZO,(1473-1528),Early Renaissance,painter,https://www.wga.hu/html/a/alesso/index.html,Pistoia,Italian,1473,1528,ALESSO DI BENOZZO
ALEVIZ NOVY,(active 1499-1531),Early Renaissance,architect,https://www.wga.hu/html/a/aleviz/index.html,Russia,Italian,1499,1531,ALEVIZ NOVY
"ALGARDI, Alessandro",(1598-1654),Baroque,sculptor,https://www.wga.hu/html/a/algardi/index.html,Rome,Italian,1598,1654,Alessandro Algardi
"ALINCBROT, Louis",(1400/10-1460),Northern Renaissance,painter,https://www.wga.hu/html/a/alincbro/index.html,Valencia,Flemish,1400,1460,Louis Alincbrot
"ALLAR, André-Joseph",(1845-1926),Realism,sculptor,https://www.wga.hu/html/a/allar/index.html,Toulon,French,1845,1926,André-Joseph Allar
"ALLEGRAIN, Christophe-Gabriel",(1710-1795),Rococo,sculptor,https://www.wga.hu/html/a/allegrai/christop/index.html,Paris,French,1710,1795,Christophe-Gabriel Allegrain
"ALLEGRAIN, Etienne",(1644-1736),Baroque,painter,https://www.wga.hu/html/a/allegrai/etienne/index.html,Paris,French,1644,1736,Etienne Allegrain
"ALLIO, Domenico I",(c. 1510-1563),Northern Renaissance,architect,https://www.wga.hu/html/a/allio/index.html,Austria,German,1510,1563,Domenico I Allio
"ALLORI, Alessandro",(1535-1607),Mannerism,painter,https://www.wga.hu/html/a/allori/alessand/index.html,Florence,Italian,1535,1607,Alessandro Allori
"ALLORI, Cristofano",(1577-1621),Baroque,painter,https://www.wga.hu/html/a/allori/cristofa/index.html,Florence,Italian,1577,1621,Cristofano Allori
"ALLSTON, Washington",(1779-1843),Romanticism,painter,https://www.wga.hu/html/a/allston/index.html,United States,American,1779,1843,Washington Allston
"ALMA-TADEMA, Lawrence",(1836-1912),Romanticism,painter,https://www.wga.hu/html/a/almatade/index.html,London,English,1836,1912,Lawrence Alma-Tadema
"ALMONACID, Sebastián de",(c. 1460-1526),Early Renaissance,sculptor,https://www.wga.hu/html/a/almonaci/index.html,Spain,Spanish,1460,1526,Sebastián de Almonacid
ALOISIO DA CARCANO,(active 1493-1516),Early Renaissance,architect,https://www.wga.hu/html/a/aloisio/index.html,Russia,Italian,1493,1516,ALOISIO DA CARCANO
"ALSLOOT, Denis van",(1570-1628),Baroque,painter,https://www.wga.hu/html/a/alsloot/index.html,Brussels,Flemish,1570,1628,Denis van Alsloot
"ALT, Rudolf von",(1812-1905),Realism,painter,https://www.wga.hu/html/a/alt/index.html,Austria,Austrian,1812,1905,Rudolf von Alt
"ALTDORFER, Albrecht",(c. 1480-1538),Northern Renaissance,painter,https://www.wga.hu/html/a/altdorfe/index.html,Germany,German,1480,1538,Albrecht Altdorfer
"ALTENSTETTER, David",(c. 1547-1617),Northern Renaissance,goldsmith,https://www.wga.hu/html/a/altenste/index.html,Augsburg,German,1547,1617,David Altenstetter
ALTICHIERO da Zevio,(c. 1330-c. 1390),Medieval,painter,https://www.wga.hu/html/a/altichie/index.html,Verona,Italian,1330,1390,ALTICHIERO da Zevio
"ALTISSIMO, Cristofano dell'",(c. 1530-1605),Mannerism,painter,https://www.wga.hu/html/a/altissim/index.html,Florence,Italian,1530,1605,Cristofano dell' Altissimo
"ALTOBELLO, Francesco Antonio",(1637-after 1695),Baroque,painter,https://www.wga.hu/html/a/altobell/index.html,Naples,Italian,1637,1695,Francesco Antonio Altobello
"ALTOMONTE, Bartolomeo",(1694-1783),Baroque,painter,https://www.wga.hu/html/a/altomont/bartolom/index.html,Austria,Austrian,1694,1783,Bartolomeo Altomonte
"ALTOMONTE, Martino",(1657-1745),Baroque,painter,https://www.wga.hu/html/a/altomont/martino/index.html,Austria,Austrian,1657,1745,Martino Altomonte
"AMADEO, Giovanni Antonio",(c. 1447-1522),Early Renaissance,architect,https://www.wga.hu/html/a/amadeo/index.html,Lombardy,Italian,1447,1522,Giovanni Antonio Amadeo
"AMBERGER, Christoph",(c. 1505-1562),Northern Renaissance,painter,https://www.wga.hu/html/a/amberger/index.html,Augsburg,German,1505,1562,Christoph Amberger
"AMEDEI, Giuliano",(c. 1446-1496),Early Renaissance,illuminator,https://www.wga.hu/html/a/amedei/index.html,Rome,Italian,1446,1496,Giuliano Amedei
"AMENDOLA, Giovanni Battista",(1848-1887),Realism,sculptor,https://www.wga.hu/html/a/amendola/index.html,Italy,Italian,1848,1887,Giovanni Battista Amendola
"AMERLING, Friedrich von",(1803-1887),Romanticism,painter,https://www.wga.hu/html/a/amerling/index.html,Vienna,Austrian,1803,1887,Friedrich von Amerling
AMICO FRIULANO DEL DOSSO,(active 1510-1540),High Renaissance,painter,https://www.wga.hu/html/a/amico/index.html,Italy,Italian,1510,1540,AMICO FRIULANO DEL DOSSO
"AMIGONI, Jacopo",(1682-1752),Baroque,painter,https://www.wga.hu/html/a/amigoni/index.html,Venice,Italian,1682,1752,Jacopo Amigoni
"AMMAN, Jost",(1539-1591),Northern Renaissance,graphic,https://www.wga.hu/html/a/amman/index.html,Nuremberg,Swiss,1539,1591,Jost Amman
"AMMANATI, Bartolomeo",(1511-1592),Mannerism,architect,https://www.wga.hu/html/a/ammanati/index.html,Italy,Italian,1511,1592,Bartolomeo Ammanati
"AMSTEL, Jan van",(c. 1500-c. 1542),Mannerism,painter,https://www.wga.hu/html/a/amstel/index.html,Netherlandish,Netherlandish,1500,1542,Jan van Amstel
"ANCHER, Anna Kirstine",(1859-1935),Impressionism,painter,https://www.wga.hu/html/a/ancher/anna/index.html,Skagen,Danish,1859,1935,Anna Kirstine Ancher
"ANCHER, Michael Peter",(1849-1927),Realism,painter,https://www.wga.hu/html/a/ancher/michael/index.html,Skagen,Danish,1849,1927,Michael Peter Ancher
"ANCONA, Vito d'",(1825-1884),Realism,painter,https://www.wga.hu/html/a/ancona/index.html,Florence,Italian,1825,1884,Vito d' Ancona
"ANDERSON, William",(1757-1837),Romanticism,painter,https://www.wga.hu/html/a/anderson/index.html,London,Scottish,1757,1837,William Anderson
ANDREA DA FIRENZE,(active 1343-1377),Medieval,painter,https://www.wga.hu/html/a/andrea/firenze/index.html,Florence,Italian,1343,1377,ANDREA DA FIRENZE
ANDREA DA MURANO,(known 1462-1502),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/murano/index.html,Venice,Italian,1462,1502,ANDREA DA MURANO
ANDREA DEL CASTAGNO,(1423-1457),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/castagno/index.html,Florence,Italian,1423,1457,ANDREA DEL CASTAGNO
ANDREA DEL SARTO,(1486-1530),High Renaissance,painter,https://www.wga.hu/html/a/andrea/sarto/index.html,Florence,Italian,1486,1530,ANDREA DEL SARTO
ANDREA DI BARTOLO,(1360/70-1428),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/bartolo/index.html,Siena,Italian,1360,1428,ANDREA DI BARTOLO
ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Medieval,goldsmith,https://www.wga.hu/html/a/andrea/jacopo/index.html,Italy,Italian,1286,1317,ANDREA DI JACOPO D'OGNABENE
ANDREA DI NERIO,(active 1350s-before 1387),Medieval,painter,https://www.wga.hu/html/a/andrea/nerio/index.html,Arezzo,Italian,1350,1387,ANDREA DI NERIO
ANDREA di Vanni d'Andrea,(c. 1332-1414),Medieval,painter,https://www.wga.hu/html/a/andrea/vanni/index.html,Siena,Italian,1332,1414,ANDREA di Vanni d'Andrea
"ANDREANI, Andrea",(c. 1558-c. 1629),Mannerism,graphic,https://www.wga.hu/html/a/andreani/index.html,Italy,Italian,1558,1629,Andrea Andreani
"ANDREESCU, Ion",(1850-1882),Impressionism,painter,https://www.wga.hu/html/a/andreesc/index.html,Bucharest,Other,1850,1882,Ion Andreescu
"ANDREOLI, Giorgio",(c. 1465-1553),High Renaissance,potter,https://www.wga.hu/html/a/andreoli/index.html,Gubbio,Italian,1465,1553,Giorgio Andreoli
"ANDRIESSEN, Hendrick",(1607-1655),Baroque,painter,https://www.wga.hu/html/a/andries/index.html,Antwerp,Flemish,1607,1655,Hendrick Andriessen
"ANDRIESSEN, Jurriaan",(1742-1819),Rococo,painter,https://www.wga.hu/html/a/andriess/index.html,Amsterdam,Dutch,1742,1819,Jurriaan Andriessen
"ANDROUET DU CERCEAU, Jacques the Elder",(c. 1515-1584),Mannerism,graphic,https://www.wga.hu/html/a/androuet/jacques/index.html,France,French,1515,1584,Jacques the Elder Androuet Du Cerceau
"ANDROUET DU CERCEAU, Jean",(c. 1585-1649),Baroque,architect,https://www.wga.hu/html/a/androuet/jean/index.html,Paris,French,1585,1649,Jean Androuet Du Cerceau
"ANDRÉ, Émile",(1871-1933),Art Nouveau,architect,https://www.wga.hu/html/a/andre/index.html,Nancy,French,1871,1933,Émile André
"ANESI, Paolo",(1697-1773),Baroque,painter,https://www.wga.hu/html/a/anesi/index.html,Rome,Italian,1697,1773,Paolo Anesi
"ANGEL, Pedro",(active 1583-1617),Baroque,graphic,https://www.wga.hu/html/a/angel/index.html,Spain,Spanish,1583,1617,Pedro Angel
"ANGELI, Giuseppe",(1712-1798),Baroque,painter,https://www.wga.hu/html/a/angeli/index.html,Venice,Italian,1712,1798,Giuseppe Angeli
"ANGELICO, Fra",(c. 1400-1455),Early Renaissance,painter,https://www.wga.hu/html/a/angelico/index.html,Florence,Italian,1400,1455,Fra Angelico
"ANGELLINI, Francesco Maria",(1680-1731),Baroque,architect,https://www.wga.hu/html/a/angellin/index.html,Bologna,Italian,1680,1731,Francesco Maria Angellini
"ANGELLIS, Pieter",(1685-1734),Rococo,painter,https://www.wga.hu/html/a/angellis/index.html,Flanders,Flemish,1685,1734,Pieter Angellis
ANGELO DA ORVIETO,(active 1317-1352),Medieval,architect,https://www.wga.hu/html/a/angelo_o/index.html,Italy,Italian,1317,1352,ANGELO DA ORVIETO
ANGELO DA SIENA,(active 1447-1456),Early Renaissance,painter,https://www.wga.hu/html/a/angelo_s/index.html,Ferrara,Italian,1447,1456,ANGELO DA SIENA
ANGELO DI NALDUCCIO,(active 1342-1389),Medieval,sculptor,https://www.wga.hu/html/a/angelo/index.html,Siena,Italian,1342,1389,ANGELO DI NALDUCCIO
ANGELUCCIO,(c. 1620-c. 1650),Baroque,painter,https://www.wga.hu/html/a/angelucc/index.html,Rome,Italian,1620,1650,ANGELUCCIO
"ANGERMAYER, Johann Adalbert",(1674-1740),Baroque,painter,https://www.wga.hu/html/a/angermay/index.html,Prague,Bohemian,1674,1740,Johann Adalbert Angermayer
"ANGOLO DEL MORO, Giulio dell'",(1555-1616),Mannerism,sculptor,https://www.wga.hu/html/a/angolo/index.html,Venice,Italian,1555,1616,Giulio dell' Angolo Del Moro
"ANGRAND, Charles",(1854-1926),Impressionism,painter,https://www.wga.hu/html/a/angrand/index.html,France,French,1854,1926,Charles Angrand
"ANGUIER, François",(1604-1669),Baroque,sculptor,https://www.wga.hu/html/a/anguier/francois/index.html,France,French,1604,1669,François Anguier
"ANGUIER, Michel",(c. 1613-1686),Baroque,sculptor,https://www.wga.hu/html/a/anguier/michel/index.html,France,French,1613,1686,Michel Anguier
"ANGUISSOLA, Lucia",(1538-1565),Mannerism,painter,https://www.wga.hu/html/a/anguisso/lucia/index.html,Cremona,Italian,1538,1565,Lucia Anguissola
"ANGUISSOLA, Sofonisba",(c. 1530-1625),Mannerism,painter,https://www.wga.hu/html/a/anguisso/sofonisb/index.html,Cremona,Italian,1530,1625,Sofonisba Anguissola
ANQUETIN. Louis,(1861-1932),Impressionism,painter,https://www.wga.hu/html/a/anquetin/index.html,Paris,French,1861,1932,ANQUETIN. Louis
"ANSALDO, Giovanni Andrea",(1584-1638),Baroque,painter,https://www.wga.hu/html/a/ansaldo/index.html,Genoa,Italian,1584,1638,Giovanni Andrea Ansaldo
"ANSELMI, Michelangelo",(c. 1492-1556),High Renaissance,painter,https://www.wga.hu/html/a/anselmi/index.html,Parma,Italian,1492,1556,Michelangelo Anselmi
ANSELMO DA CAMPIONE,(active 1160-1209),Medieval,sculptor,https://www.wga.hu/html/a/anselmo/index.html,Modena,Italian,1160,1209,ANSELMO DA CAMPIONE
"ANTELAMI, Benedetto",(active 1170-1230),Medieval,sculptor,https://www.wga.hu/html/a/antelami/index.html,Parma,Italian,1170,1230,Benedetto Antelami
"ANTHONISZ, Aert",(1579/80-1620),Baroque,painter,https://www.wga.hu/html/a/anthoni/index.html,Netherlands,Dutch,1579,1620,Aert Anthonisz
"ANTHONISZ, Cornelis",(c. 1499-c. 1555),Northern Renaissance,graphic,https://www.wga.hu/html/a/anthonis/index.html,Amsterdam,Dutch,1499,1555,Cornelis Anthonisz
ANTICO,(c. 1460-1528),Early Renaissance,sculptor,https://www.wga.hu/html/a/antico/index.html,Mantua,Italian,1460,1528,ANTICO
"ANTIGNA, Alexandre",(1817-1878),Romanticism,painter,https://www.wga.hu/html/a/antigna/index.html,Paris,French,1817,1878,Alexandre Antigna
"ANTOINE, Jacques-Denis",(1733-1801),Neoclassicism,architect,https://www.wga.hu/html/a/antoine/index.html,Paris,French,1733,1801,Jacques-Denis Antoine
"ANTOLINEZ, Francisco",(1644-1700),Baroque,painter,https://www.wga.hu/html/a/antoline/francisc/index.html,Seville,Spanish,1644,1700,Francisco Antolinez
"ANTOLINEZ, José",(1635-1675),Baroque,painter,https://www.wga.hu/html/a/antoline/jose/index.html,Madrid,Spanish,1635,1675,José Antolinez
"ANTOLINI, Giovanni Antonio",(1756-1841),Neoclassicism,architect,https://www.wga.hu/html/a/antolini/index.html,Milan,Italian,1756,1841,Giovanni Antonio Antolini
"ANTONELLI, Alessandro",(1798-1788),Neoclassicism,architect,https://www.wga.hu/html/a/antonel/index.html,Turin,Italian,1788,1798,Alessandro Antonelli
ANTONELLO da Messina,(1430-1479),Early Renaissance,painter,https://www.wga.hu/html/a/antonell/index.html,Italy,Italian,1430,1479,ANTONELLO da Messina
ANTONIAZZO ROMANO,(c. 1430-1508/12),Early Renaissance,painter,https://www.wga.hu/html/a/antoniaz/index.html,Rome,Italian,1430,1508,ANTONIAZZO ROMANO
ANTONIO DA ATRI,(c. 1350-1433),Medieval,painter,https://www.wga.hu/html/a/antonio/atri/index.html,Atri,Italian,1350,1433,ANTONIO DA ATRI
ANTONIO DA CREVALCORE,(c. 1440-c. 1525),Early Renaissance,painter,https://www.wga.hu/html/a/antonio/crevalco/index.html,Bologna,Italian,1440,1525,ANTONIO DA CREVALCORE
ANTONIO DA FABRIANO,(active 1447-1489),Early Renaissance,painter,https://www.wga.hu/html/a/antonio/fabriano/index.html,Italy,Italian,1447,1489,ANTONIO DA FABRIANO
ANTONIO DA FIRENZE,(active first half 15th cent.),Early Renaissance,painter,https://www.wga.hu/html/a/antonio/index.html,Florence,Italian,,,ANTONIO DA FIRENZE
ANTONIO DA NEGROPONTE,(active 1450-1500),Early Renaissance,painter,https://www.wga.hu/html/a/antonio/negropon/index.html,Venice,Italian,1450,1500,ANTONIO DA NEGROPONTE
ANTONIO DA TRENTO,(active c. 1527),High Renaissance,graphic,https://www.wga.hu/html/a/antonio/trento/index.html,Bologna,Italian,1527,,ANTONIO DA TRENTO
ANTONIO DI VINCENZO,(c. 1350-c. 1402),Medieval,architect,https://www.wga.hu/html/a/antonio/vincenzo/index.html,Bologna,Italian,1350,1402,ANTONIO DI VINCENZO
ANTONIO VENEZIANO,(active 1369-1419),Medieval,painter,https://www.wga.hu/html/a/antonio/venezian/index.html,Venice,Italian,1369,1419,ANTONIO VENEZIANO
"ANTROPOV, Aleksey Petrovich",(1716-1795),Rococo,painter,https://www.wga.hu/html/a/antropov/index.html,Russia,Russian,1716,1795,Aleksey Petrovich Antropov
"AOSTALLI, Ulrico",(c. 1525-1597),Northern Renaissance,architect,https://www.wga.hu/html/a/aostalli/index.html,Prague,Italian,1525,1597,Ulrico Aostalli
APOLLONIO DI GIOVANNI,(c. 1414-1465),Early Renaissance,painter,https://www.wga.hu/html/a/apolloni/index.html,Florence,Italian,1414,1465,APOLLONIO DI GIOVANNI
"APPIANI, Andrea",(1754-1817),Neoclassicism,painter,https://www.wga.hu/html/a/appiani/index.html,Italy,Italian,1754,1817,Andrea Appiani
"APSHOVEN, Thomas van",(c. 1622-c. 1665),Baroque,painter,https://www.wga.hu/html/a/apshoven/index.html,Antwerp,Flemish,1622,1665,Thomas van Apshoven
"APT, Ulrich the Elder",(c. 1460-1522),Northern Renaissance,painter,https://www.wga.hu/html/a/apt/index.html,Augsburg,German,1460,1522,Ulrich the Elder Apt
"ARALDI, Alessandro",(c. 1460-c. 1530),High Renaissance,painter,https://www.wga.hu/html/a/araldi/index.html,Parma,Italian,1460,1530,Alessandro Araldi
ARCANGELO DI JACOPO DEL SELLAIO,(1477/78-1530),High Renaissance,painter,https://www.wga.hu/html/a/arcangel/index.html,Florence,Italian,1477,1530,ARCANGELO DI JACOPO DEL SELLAIO
"ARCIMBOLDO, Giuseppe",(1526-1593),Mannerism,painter,https://www.wga.hu/html/a/arcimbol/index.html,Milan,Italian,1526,1593,Giuseppe Arcimboldo
"ARELLANO, Juan de",(1614-1676),Baroque,painter,https://www.wga.hu/html/a/arellano/index.html,Madrid,Spanish,1614,1676,Juan de Arellano
"ARENTSZ., Arent",(c. 1585-1631),Baroque,painter,https://www.wga.hu/html/a/arentsz/index.html,Amsterdam,Dutch,1585,1631,Arent Arentsz.
"ARFE, Enrique de",(c. 1475-1545),High Renaissance,goldsmith,https://www.wga.hu/html/a/arfe/enrique/index.html,Leön,Spanish,1475,1545,Enrique de Arfe
"ARFE, Juan de",(1535-1603),Mannerism,goldsmith,https://www.wga.hu/html/a/arfe/juan/index.html,Seville,Spanish,1535,1603,Juan de Arfe
"ARGUNOV, Ivan Petrovich",(1729-1802),Rococo,painter,https://www.wga.hu/html/a/argunov/index.html,Russia,Russian,1729,1802,Ivan Petrovich Argunov
"ARKWRIGHT, Richard",(1732-1792),Neoclassicism,architect,https://www.wga.hu/html/a/arkwrigh/index.html,Cromford,English,1732,1792,Richard Arkwright
ARNOLD OF WESTPHALIA,(d. ca. 1480),Medieval,architect,https://www.wga.hu/html/a/arnold/index.html,Saxony,German,1480,,ARNOLD OF WESTPHALIA
"ARNOLDI, Alberto",(active 1351-1364),Medieval,architect,https://www.wga.hu/html/a/arnoldi/index.html,Florence,Italian,1351,1364,Alberto Arnoldi
