artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BRUYN, Barthel the Elder",(1493-1555),Northern Renaissance,painter,https://www.wga.hu/html/b/bruyn/elder/index.html,Cologne,German,1493,1555,Barthel the Elder Bruyn
"BRUYN, Barthel the Younger",(c. 1530-c. 1608),Mannerism,painter,https://www.wga.hu/html/b/bruyn/younger/index.html,Cologne,German,1530,1608,Barthel the Younger Bruyn
"BRUYN, Nicolaes de",(1571-1656),Baroque,graphic,https://www.wga.hu/html/b/bruyn_f/index.html,Antwerp,Flemish,1571,1656,Nicolaes de Bruyn
"BRUYN, Willem de",(1649-1719),Baroque,architect,https://www.wga.hu/html/b/bruyn_w/index.html,Brussels,Flemish,1649,1719,Willem de Bruyn
"BRUYNE, Gabriel van den",(c. 1500-1561),Northern Renaissance,architect,https://www.wga.hu/html/b/bruyne/index.html,Leuven,Flemish,1500,1561,Gabriel van den Bruyne
"BRY, Theodor de",(1528-1598),Mannerism,graphic,https://www.wga.hu/html/b/bry/index.html,Frankfurt,Flemish,1528,1598,Theodor de Bry
"BRYULLOV, Aleksandr Pavlovich",(1798-1877),Romanticism,painter,https://www.wga.hu/html/b/bryullov/aleksand/index.html,Russia,Russian,1798,1877,Aleksandr Pavlovich Bryullov
"BRYULLOV, Karl Pavlovich",(1799-1852),Romanticism,painter,https://www.wga.hu/html/b/bryullov/karl/index.html,Russia,Russian,1799,1852,Karl Pavlovich Bryullov
"BRÄM, Leonhard I",(d. 1565),Mannerism,goldsmith,https://www.wga.hu/html/b/bram/index.html,Zurich,Swiss,1565,,Leonhard I Bräm
"BUESEM, Jan Jansz.",(c. 1600-1649),Baroque,painter,https://www.wga.hu/html/b/buesem/index.html,Amsterdam,Dutch,1600,1649,Jan Jansz. Buesem
"BUFFALMACCO, Bounamico",(active 1315-1336),Medieval,painter,https://www.wga.hu/html/b/buffalma/index.html,Pisa,Italian,1315,1336,Bounamico Buffalmacco
"BUGATTI, Carlo",(1856-1940),Art Nouveau,cabinet-maker,https://www.wga.hu/html/b/bugatti/carlo/index.html,Milano,Italian,1856,1940,Carlo Bugatti
"BUGATTI, Ettore",(1881-1947),Art Nouveau,goldsmith,https://www.wga.hu/html/b/bugatti/ettore/index.html,Molsheime,Italian,1881,1947,Ettore Bugatti
"BUGATTI, Rembrandt",(1884-1916),Art Nouveau,sculptor,https://www.wga.hu/html/b/bugatti/rembrandt/index.html,Antwerp,Italian,1884,1916,Rembrandt Bugatti
BUGGIANO,(1412-1461),Early Renaissance,sculptor,https://www.wga.hu/html/b/buggiano/index.html,Florence,Italian,1412,1461,BUGGIANO
"BUGIARDINI, Giuliano",(1475-1554),High Renaissance,painter,https://www.wga.hu/html/b/bugiardi/index.html,Florence,Italian,1475,1554,Giuliano Bugiardini
"BUGLIONI, Benedetto",(c. 1459-1521),Early Renaissance,sculptor,https://www.wga.hu/html/b/buglioni/benedett/index.html,Florence,Italian,1459,1521,Benedetto Buglioni
"BUGLIONI, Santi",(1494-1576),High Renaissance,sculptor,https://www.wga.hu/html/b/buglioni/santi/index.html,Italy,Italian,1494,1576,Santi Buglioni
"BULAND, Jean-Eugène",(1852-1926),Realism,painter,https://www.wga.hu/html/b/buland/index.html,Paris,French,1852,1926,Jean-Eugène Buland
"BULFINCH, Charles",(1763-1844),Neoclassicism,architect,https://www.wga.hu/html/b/bulfinch/index.html,United States,American,1763,1844,Charles Bulfinch
